date,city,מחוז,age,דסק,pop,נותרים לחיסון,לא מחוסנים ולא מחלימים,מחלימים,מחלימים שהתחסנו,מחוסנים מלא,מחוסנים מלא שדעך חיסונם,מחוסנים ב3 מנות,בתהליך חיסון,מחוסנים מנה 1 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 1,% מחוסנים מנה 1 מכלל האוכלוסיה,% מחוסנים מנה 1 מהפוטנציאל,מחוסנים מנה 2 מכלל האוכלוסיה,אוכלוסיה פוטנציאלית לחיסון מנה 2,% מחוסנים מנה 2,% מחוסנים מנה 2 ממתחסני מנה 1,מחוסנים מנה 3 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 3,% מחוסנים מנה 3 מהפוטנציאל
25/08/2021,רחובות,מחוז מרכז,16_18,דסק כללי,5609,861,861,515,276,1145,2553,4,255,4233,5520,75%,77%,3792,4047,68%,94%,4,0,0%
25/08/2021,רחלים,מחוז מרכז,16_18,דסק כללי,24,0,0,8,2,6,12,0,4,24,24,100%,100%,20,23,83%,87%,0,0,0%
25/08/2021,ריחאניה,מחוז צפון,16_18,דסק ערבי,51,10,10,5,4,6,22,0,4,36,50,71%,72%,29,33,57%,88%,0,0,0%
25/08/2021,ריחן,מחוז מרכז,16_18,דסק כללי,12,4,4,0,0,2,6,0,0,8,12,67%,67%,8,8,67%,100%,0,0,0%
25/08/2021,ריינה,מחוז צפון,16_18,דסק ערבי,1164,528,528,57,43,122,350,0,64,579,1156,50%,50%,486,544,42%,89%,0,0,0%
25/08/2021,רימונים,מחוז מרכז,16_18,דסק כללי,30,7,7,4,0,6,11,0,2,19,29,63%,66%,17,18,57%,94%,0,0,0%
25/08/2021,רינתיה,מחוז מרכז,16_18,דסק כללי,42,0,0,2,3,14,21,0,2,40,41,95%,98%,36,39,86%,92%,0,0,0%
25/08/2021,רכסים,מחוז חיפה,16_18,דסק חרדי,864,273,273,177,116,78,188,0,32,414,854,48%,48%,278,369,32%,75%,0,0,0%
25/08/2021,רם-און,מחוז צפון,16_18,דסק כללי,69,1,1,2,2,16,46,1,1,66,69,96%,96%,63,66,91%,95%,1,0,0%
25/08/2021,רמות,מחוז צפון,16_18,דסק כללי,24,0,0,1,1,3,22,0,2,28,24,117%,117%,25,26,104%,96%,0,0,0%
25/08/2021,רמות השבים,מחוז מרכז,16_18,דסק כללי,126,41,41,1,4,25,53,0,2,84,124,67%,68%,82,84,65%,98%,0,0,0%
25/08/2021,רמות מאיר,מחוז מרכז,16_18,דסק כללי,39,4,4,2,8,3,20,0,2,33,38,85%,87%,24,31,62%,77%,0,0,0%
25/08/2021,רמות מנשה,מחוז צפון,16_18,דסק כללי,72,0,0,0,4,31,57,0,2,94,71,131%,132%,90,92,125%,98%,0,0,0%
25/08/2021,רמות נפתלי,מחוז צפון,16_18,דסק כללי,30,11,11,0,0,2,14,0,3,19,30,63%,63%,16,16,53%,100%,0,0,0%
25/08/2021,רמלה,מחוז מרכז,16_18,דסק כללי,3401,790,790,387,185,583,1227,4,225,2224,3354,65%,66%,1858,2083,55%,89%,4,0,0%
25/08/2021,רמת גן,מחוז תל אביב,16_18,דסק כללי,5042,655,655,217,210,1143,2636,13,168,4170,4957,83%,84%,3882,4054,77%,96%,13,0,0%
25/08/2021,רמת דוד,מחוז צפון,16_18,דסק כללי,30,1,1,0,0,7,22,0,0,29,30,97%,97%,29,29,97%,100%,0,0,0%
25/08/2021,רמת הכובש,מחוז מרכז,16_18,דסק כללי,42,11,11,1,1,4,23,0,2,30,42,71%,71%,27,28,64%,96%,0,0,0%
25/08/2021,רמת השופט,מחוז צפון,16_18,דסק כללי,66,4,4,1,0,27,31,0,3,61,65,92%,94%,59,60,89%,98%,0,0,0%
25/08/2021,רמת השרון,מחוז תל אביב,16_18,דסק כללי,2089,102,102,52,66,541,1264,2,62,1935,2063,93%,94%,1836,1891,88%,97%,2,0,0%
25/08/2021,רמת יוחנן,מחוז חיפה,16_18,דסק כללי,39,5,5,0,0,11,23,0,0,34,39,87%,87%,34,34,87%,100%,0,0,0%
25/08/2021,רמת ישי,מחוז צפון,16_18,דסק כללי,367,27,27,6,14,100,207,0,13,334,363,91%,92%,318,323,87%,98%,0,0,0%
25/08/2021,רמת מגשימים,מחוז צפון,16_18,דסק כללי,63,4,4,6,0,17,35,0,1,53,63,84%,84%,52,52,83%,100%,0,0,0%
25/08/2021,רמת צבי,מחוז צפון,16_18,דסק כללי,33,0,0,1,1,7,25,0,0,33,33,100%,100%,32,33,97%,97%,0,0,0%
25/08/2021,רמת רזיאל,מחוז ירושלים,16_18,דסק כללי,27,0,0,0,0,10,16,0,1,27,27,100%,100%,27,27,100%,100%,0,0,0%
25/08/2021,רמת רחל,מחוז ירושלים,16_18,דסק כללי,15,0,0,0,1,8,11,0,0,20,15,133%,133%,19,20,127%,95%,0,0,0%
